task_date	title	time_minutes	notes
2012-12-12 00:00:00	Closure of year budget	120	No more euros
2019-02-24 00:00:00	Flag's day	0	National day in CDMX
2018-07-14 00:00:00	Day off	0	National day in France
1989-12-01 00:00:00	Python was conceived	2000	Developed by Guido Van Rossum
2019-03-13 00:00:00	Spectronaut activation	20	30 days trial
2019-03-30 00:00:00	Trip to Lille	3600	2019 International meeting of fermented products
1860-01-01 00:00:00	Kouign-amann invention	60	Recipe of Douarnenez requires a ratio of 40 percent dough, 30 percent butter, and 30 percent sugar.
2019-03-23 00:00:00	Cheese inventory	120	Ran out of Cantal entre deux
2018-05-01 00:00:00	International day of work	0	
2010-12-12 00:00:00	Genitallica tickets' sale	3600	Sold out in 6 hours
2018-04-01 00:00:00	Sopitas showtime	60	IP 104.27.142.149 Number 555-55-555
2010-11-30 00:00:00	Raspberry Pi time log	359	Phone 333-44-201 IP 324.20.140.225
2019-04-01 00:00:00	lalala	98	no
